roll_deg,pitch_deg,yaw_deg,s_rad,s_deg,nearestPoleIndex,maxQError_deg,status,errorMessage
-30,-15,-20,0.433089786289171,24.8142169045923,1,9.54166404439055e-15,SAFE,
-30,-15,-15,0.368100082732682,21.0905811789991,1,1.27222187258541e-14,SAFE,
-30,-15,-10,0.313528505633293,17.9638601298314,1,9.54166404439055e-15,SAFE,
-30,-15,-5,0.275643760946709,15.7932241513594,1,1.27222187258541e-14,SAFE,
-30,-15,0,0.261799387799149,15,1,6.36110936292703e-15,SAFE,
-30,-15,5,0.275643760946709,15.7932241513594,1,6.36110936292703e-15,SAFE,
-30,-15,10,0.313528505633293,17.9638601298314,1,1.27222187258541e-14,SAFE,
-30,-15,15,0.368100082732682,21.0905811789991,1,6.36110936292703e-15,SAFE,
-30,-15,20,0.433089786289171,24.8142169045923,1,6.36110936292703e-15,SAFE,
-30,-15,25,0.504479664622674,28.9045556330544,1,9.54166404439055e-15,SAFE,
-30,-15,30,0.579902088524707,33.2259422032876,1,6.36110936292703e-15,SAFE,
-30,-10,-30,0.549341490013219,31.4749488891855,1,1.27222187258541e-14,SAFE,
-30,-10,-25,0.467852210867062,26.8059571185473,1,1.27222187258541e-14,SAFE,
-30,-10,-20,0.388662911728293,22.2687444952969,1,6.36110936292703e-15,SAFE,
-30,-10,-15,0.313528505633293,17.9638601298314,1,9.54166404439055e-15,SAFE,
-30,-10,-10,0.246196916778932,14.1060442605664,1,1.59027734073176e-14,SAFE,
-30,-10,-5,0.194935000575474,11.1689528123549,1,1.27222187258541e-14,SAFE,
-30,-10,0,0.174532925199433,10,1,1.43124960665858e-14,SAFE,
-30,-10,5,0.194935000575474,11.1689528123549,1,1.27222187258541e-14,SAFE,
-30,-10,10,0.246196916778932,14.1060442605664,1,1.74930507480493e-14,SAFE,
-30,-10,15,0.313528505633293,17.9638601298314,1,9.54166404439055e-15,SAFE,
-30,-10,20,0.388662911728293,22.2687444952969,1,1.27222187258541e-14,SAFE,
-30,-10,25,0.467852210867062,26.8059571185473,1,9.54166404439055e-15,SAFE,
-30,-10,30,0.549341490013219,31.4749488891855,1,6.36110936292703e-15,SAFE,
-30,-5,-30,0.530152600827387,30.3755065252931,1,1.27222187258541e-14,SAFE,
-30,-5,-25,0.444422714007972,25.4635458324064,1,6.36110936292703e-15,SAFE,
-30,-5,-20,0.359375015935079,20.5906716755268,1,1.59027734073176e-14,SAFE,
-30,-5,-15,0.275643760946709,15.7932241513594,1,6.36110936292703e-15,SAFE,
-30,-5,-10,0.194935000575474,11.1689528123549,1,1.11319413851223e-14,SAFE,
-30,-5,-5,0.123334989929722,7.06657438926159,1,1.11319413851223e-14,WARNING,
-30,-5,0,0.0872664625997163,4.99999999999999,1,7.95138670365879e-15,WARNING,
