roll_deg,pitch_deg,yaw_deg,s,conditionNumber,maxQError_deg,status,errorMessage
-30,15,-25,0.448193739991442,1.46942583222623,9.54166404439055e-15,SAFE,
-30,15,-20,0.394965287958052,1.58988490051531,6.36110936292703e-15,SAFE,
-30,15,-15,0.340525140497464,1.76459141832384,6.36110936292703e-15,SAFE,
-30,15,-10,0.293356911982292,1.96453337744419,9.54166404439055e-15,SAFE,
-30,15,-5,0.260326940251482,2.12539950982399,6.36110936292703e-15,SAFE,
-30,15,0,0.248246049447193,2.17399111546875,6.36110936292703e-15,SAFE,
-30,15,5,0.26027824288249,2.11243959169743,9.54166404439055e-15,SAFE,
-30,15,10,0.293137933388904,1.92683823015041,1.27222187258541e-14,SAFE,
-30,15,15,0.339810225613887,1.69063216685688,1.27222187258541e-14,SAFE,
-30,15,20,0.39276333591646,1.47779741329773,6.36110936292703e-15,SAFE,
-30,15,25,0.440114428281277,1.33277753306861,6.36110936292703e-15,SAFE,
-30,15,30,0.464760786407643,1.28388052518082,6.36110936292703e-15,SAFE,
-30,20,-30,0.483173227044736,1.5595978107862,6.36110936292703e-15,SAFE,
-30,20,-25,0.46085824695435,1.55834360537723,6.36110936292703e-15,SAFE,
-30,20,-20,0.423058889289236,1.61465341983043,1.27222187258541e-14,SAFE,
-30,20,-15,0.381726475633901,1.70072661011448,6.36110936292703e-15,SAFE,
-30,20,-10,0.3466358439498,1.78162375717615,1.59027734073176e-15,SAFE,
-30,20,-5,0.323183880722487,1.82920589184569,9.54166404439055e-15,SAFE,
-30,20,0,0.314854187790528,1.83576431870966,6.36110936292703e-15,SAFE,
-30,20,5,0.322817521223621,1.80834675122857,1.27222187258541e-14,SAFE,
-30,20,10,0.345422782969789,1.72946846829073,6.36110936292703e-15,SAFE,
-30,20,15,0.378480939333253,1.60668793313244,1.27222187258541e-14,SAFE,
-30,20,20,0.414629960113239,1.48125478567727,6.36110936292703e-15,SAFE,
-30,20,25,0.441359751719833,1.40158810909629,1.27222187258541e-14,SAFE,
-30,20,30,0.456203240119409,1.37088992955511,6.36110936292703e-15,SAFE,
-30,25,-30,0.488000501985055,1.69491001546799,1.27222187258541e-14,SAFE,
-30,25,-25,0.472646883596394,1.67286581758297,6.36110936292703e-15,SAFE,
-30,25,-20,0.448231101894274,1.67843077628405,6.36110936292703e-15,SAFE,
-30,25,-15,0.418528992027486,1.7052350559743,6.36110936292703e-15,SAFE,
-30,25,-10,0.392109699069839,1.72799571880607,1.27222187258541e-14,SAFE,
-30,25,-5,0.374288453585536,1.73355353496998,1.27222187258541e-14,SAFE,
-30,25,0,0.367660147687305,1.72484247237623,6.36110936292703e-15,SAFE,
-30,25,5,0.372766037704192,1.70562516368254,3.18055468146352e-15,SAFE,
-30,25,10,0.388081437103431,1.66491223959244,1.27222187258541e-14,SAFE,
-30,25,15,0.409640121508502,1.59949997308081,1.27222187258541e-14,SAFE,
-30,25,20,0.430027375568825,1.53287639456239,6.36110936292703e-15,SAFE,
-30,25,25,0.442711706018372,1.49087066019986,0,SAFE,
-30,25,30,0.451164013717909,1.46782900417991,1.27222187258541e-14,SAFE,
-30,30,-30,0.494622181000584,1.85023273636323,6.36110936292703e-15,SAFE,
-30,30,-25,0.483331879934557,1.8172376781538,1.27222187258541e-14,SAFE,
-30,30,-20,0.468289513070886,1.78911112167248,6.36110936292703e-15,SAFE,
-30,30,-15,0.448908016432898,1.77307496558865,6.36110936292703e-15,SAFE,
-30,30,-10,0.429282834446005,1.76230008132831,1.27222187258541e-14,SAFE,
-30,30,-5,0.414696876832663,1.74834068303733,6.36110936292703e-15,SAFE,
-30,30,0,0.408248290490253,1.7320508074847,6.36110936292703e-15,SAFE,
-30,30,5,0.410695313678419,1.71494027400439,6.36110936292703e-15,SAFE,
-30,30,10,0.420275493858638,1.69149783000055,1.59027734073176e-15,SAFE,
-30,30,15,0.432484043845246,1.65880097506212,6.36110936292703e-15,SAFE,
-30,30,20,0.441591435298387,1.62577160101714,6.36110936292703e-15,SAFE,
-30,30,25,0.446019795842763,1.59941150582397,9.54166404439055e-15,SAFE,
-30,30,30,0.449449217359019,1.57782032031466,6.36110936292703e-15,SAFE,
-25,-30,-30,0.444375240235766,1.57429366071781,1.27222187258541e-14,SAFE,
-25,-30,-25,0.440859955704303,1.59323301374324,1.27222187258541e-14,SAFE,
-25,-30,-20,0.43898899133267,1.61979510293647,9.54166404439055e-15,SAFE,
-25,-30,-15,0.432290093424683,1.65802085129512,6.36110936292703e-15,SAFE,
-25,-30,-10,0.420360179350992,1.69199433202807,2.86249921331717e-14,SAFE,
-25,-30,-5,0.409139719289535,1.70403183714091,1.27222187258541e-14,SAFE,
-25,-30,0,0.404270755454834,1.70208213473122,6.36110936292703e-15,SAFE,
-25,-30,5,0.408875041249616,1.70227786051301,1.27222187258541e-14,SAFE,
-25,-30,10,0.422852133553043,1.70784640678084,6.36110936292703e-15,SAFE,
-25,-30,15,0.442829606894834,1.71716480129504,1.27222187258541e-14,SAFE,
-25,-30,20,0.463166226731477,1.73599225963666,6.36110936292703e-15,SAFE,
-25,-30,25,0.479529959324329,1.76897288034468,1.27222187258541e-14,SAFE,
-25,-30,30,0.492051305059057,1.80886584786355,6.36110936292703e-15,SAFE,
-25,-25,-30,0.447424312955873,1.46482694402311,9.54166404439055e-15,SAFE,
-25,-25,-25,0.438301483422952,1.485500130695,9.54166404439055e-15,SAFE,
-25,-25,-20,0.427569354863582,1.52549324635633,6.36110936292703e-15,SAFE,
-25,-25,-15,0.40916705847346,1.59605837157492,9.54166404439055e-15,SAFE,
-25,-25,-10,0.388142220370543,1.66568359818448,1.59027734073176e-14,SAFE,
-25,-25,-5,0.372284511236132,1.69761149748941,3.18055468146352e-15,SAFE,
-25,-25,0,0.366026803751075,1.6953080346542,6.36110936292703e-15,SAFE,
-25,-25,5,0.371499226202754,1.68530170193421,9.54166404439055e-15,SAFE,
-25,-25,10,0.388650876159766,1.67232705885231,1.27222187258541e-14,SAFE,
-25,-25,15,0.414896311119809,1.65049587723746,6.36110936292703e-15,SAFE,
-25,-25,20,0.444659466980211,1.6296611830442,3.18055468146352e-15,SAFE,
-25,-25,25,0.469560859735381,1.63138312293367,9.54166404439055e-15,SAFE,
-25,-25,30,0.485887113402209,1.66037452246603,1.27222187258541e-14,SAFE,
-25,-20,-30,0.4535171830693,1.36782357970349,9.54166404439055e-15,SAFE,
-25,-20,-25,0.437953866736949,1.39578138906603,6.36110936292703e-15,SAFE,
-25,-20,-20,0.413019393557454,1.47115418990898,3.18055468146352e-15,SAFE,
-25,-20,-15,0.378113332725356,1.59978002903737,3.18055468146352e-15,SAFE,
-25,-20,-10,0.345417403144925,1.7292711651136,9.54166404439055e-15,SAFE,
-25,-20,-5,0.322740320331601,1.80417738804587,1.59027734073176e-14,SAFE,
-25,-20,0,0.314436167374799,1.80964314536731,6.36110936292703e-15,SAFE,
-25,-20,5,0.322312653306065,1.78241479391074,1.90833280887811e-14,SAFE,
-25,-20,10,0.345371460343162,1.72759719842379,1.59027734073176e-14,SAFE,
-25,-20,15,0.380201084359565,1.64776328180856,9.54166404439055e-15,SAFE,
-25,-20,20,0.421294004609869,1.56824014502126,9.54166404439055e-15,SAFE,
-25,-20,25,0.458822103378715,1.52135011784492,6.36110936292703e-15,SAFE,
-25,-20,30,0.481569327006978,1.5306783753254,1.27222187258541e-14,SAFE,
-25,-15,-30,0.462901690955026,1.27981715296132,6.36110936292703e-15,SAFE,
-25,-15,-25,0.438186743663114,1.32410767665843,6.36110936292703e-15,SAFE,
-25,-15,-20,0.392191077645803,1.46434766821707,9.54166404439055e-15,SAFE,
-25,-15,-15,0.339663203004909,1.68016565088504,1.27222187258541e-14,SAFE,
-25,-15,-10,0.293119788761983,1.92410281917163,2.22638827702446e-14,SAFE,
-25,-15,-5,0.260274805970302,2.11155299424095,9.54166404439055e-15,SAFE,
-25,-15,0,0.248189261603455,2.15408198333743,6.36110936292703e-15,SAFE,
-25,-15,5,0.26017065308266,2.08642211711369,1.27222187258541e-14,SAFE,
-25,-15,10,0.293075972210558,1.91772271576843,1.27222187258541e-14,SAFE,
-25,-15,15,0.340114357747843,1.71680245114758,9.54166404439055e-15,SAFE,
